TICKER,DURATION,PERIODEND,INDEXNAME,VALUE,CUMULATIVEVALUE,COMMENT,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
MELI,Mid-month,16/10/23,Mercado Libre Transaction Index,2.253083488,168.5953927,,15:00.0,0.283736233,
MELI,Mid-month,16/11/23,Mercado Libre Transaction Index,2.335438559,173.3147821,,15:00.0,0.295247203,
MELI,Mid-month,16/12/23,Mercado Libre Transaction Index,2.860668916,178.814957,,15:00.0,0.307409353,
MELI,Mid-month,16/01/24,Mercado Libre Transaction Index,2.316465397,183.5675409,,15:00.0,0.199993787,
MELI,Mid-month,16/02/24,Mercado Libre Transaction Index,2.292090613,188.2892425,,15:00.0,0.165787745,
MELI,Mid-month,16/03/24,Mercado Libre Transaction Index,2.422980106,192.8929131,,15:00.0,0.18553213,
MELI,Mid-month,16/04/24,Mercado Libre Transaction Index,2.361383707,197.4965186,,15:00.0,0.281049111,
MELI,Mid-month,16/05/24,Mercado Libre Transaction Index,2.513234278,202.343058,,15:00.0,0.221173154,
MELI,Mid-month,16/06/24,Mercado Libre Transaction Index,2.690426191,207.7137213,,15:00.0,0.238529813,
MELI,Mid-month,16/07/24,Mercado Libre Transaction Index,2.710258673,212.8802723,,15:00.0,0.257940048,
MELI,Mid-month,16/08/24,Mercado Libre Transaction Index,2.784750005,218.4698641,,15:00.0,0.216864144,
MELI,Mid-month,16/09/24,Mercado Libre Transaction Index,2.772678271,223.953548,,15:00.0,0.306553616,
MELI,Mid-month,16/10/24,Mercado Libre Transaction Index,2.898454865,229.4717248,,15:00.0,0.286439176,
MELI,Mid-month,16/11/24,Mercado Libre Transaction Index,3.025472021,235.4418988,,15:00.0,0.295462049,
MELI,Mid-month,16/12/24,Mercado Libre Transaction Index,3.720059994,242.4268797,,15:00.0,0.300416128,
MELI,Mid-month,16/01/25,Mercado Libre Transaction Index,2.919366514,248.4501947,,15:00.0,0.260267698,
MELI,Mid-month,16/02/25,Mercado Libre Transaction Index,3.078825407,254.6765505,,15:00.0,0.343238958,
MELI,Mid-month,16/03/25,Mercado Libre Transaction Index,2.974832419,260.2838594,,15:00.0,0.227757674,
MELI,Mid-month,16/04/25,Mercado Libre Transaction Index,3.197427902,266.6499752,,15:00.0,0.354048431,
MELI,Mid-month,16/05/25,Mercado Libre Transaction Index,3.340333916,272.7489558,,15:00.0,0.329097707,
